id,codigo,equivalencia,cantidad,marca,modelo,precio,descuento
159,P-Q-90,89,,PANASONIC,Q-90,580,40
158,P-60038,nan,,PANASONIC,60038,540,40
157,P-574H28L,C-15MBI 19cm,,PANASONIC,574H28L,460,40
156,P-571L28,nan,,PANASONIC,571L28,410,40
155,P-560L25,nan,,PANASONIC,560L25,380,40
154,P-125D26L,nan,,PANASONIC,125D26L,600,40
153,P-115D31R,nan,,PANASONIC,115D31R,560,40
152,P-115D31L,nan,,PANASONIC,115D31L,560,40
151,P-100D23L,nan,,PANASONIC,100D23L,530,40
150,P-90D26L,nan,,PANASONIC,90D26L,480,40
149,P-80D23L,nan,,PANASONIC,80D23L,470,40
148,P-75D23L,nan,,PANASONIC,75D23L,430,40
147,P-60B24L,nan,,PANASONIC,60B24L,380,20
146,O-D34/78,nan,,OPTIMA,D34/78,850,40
145,O-34R,nan,,OPTIMA,34R,750,40
144,V-1765,C-1765,,VARTA,65V4-1080,560,40
143,V-60038,C-60038,,VARTA,49V41150ST,540,40
142,V-15MBI,C-15MBI,,VARTA,48IV5940,410,40
141,V-13WI,C-13WI,,VARTA,42IBLUE550,360,40
140,V-1135,C-1135,,VARTA,35BLUE-555,390,40
139,V-1134,C-1134,,VARTA,34RV51030,430,40
138,V-13TOI,C-13TOI,,VARTA,NS60LSV5790,360,20
137,S-AGM95,nan,,SOLITE,AGM95,900,40
136,S-AGM80,nan,,SOLITE,AGM80,800,40
135,S-AGM70,nan,,SOLITE,AGM70,730,40
134,S-105D31L,nan,,SOLITE,105D31L,510,40
133,S-95D23L,nan,,SOLITE,95D23L,430,40
132,S-CMF60038,nan,,SOLITE,CMF60038,520,40
131,S-CMF75D23L,nan,,SOLITE,CMF75D23L,360,40
130,S-CMF67018,nan,,SOLITE,CMF67018,630,80
129,S-CMF59042,nan,,SOLITE,CMF59042,590,40
128,S-CMF58014,nan,,SOLITE,CMF58014,520,40
127,S-CMF57412,nan,,SOLITE,CMF57412,460,40
126,S-CMF56318,nan,,SOLITE,CMF56318,400,40
125,S-CMF56219,nan,,SOLITE,CMF56219,360,40
124,S-CMF55040,nan,,SOLITE,CMF55040,320,40
123,S-65B24LS,nan,,SOLITE,65B24LS,350,20
122,S-65B24L,nan,,SOLITE,65B24L,360,20
121,S-55B24RS,nan,,SOLITE,55B24RS,320,20
120,S-55B24R,nan,,SOLITE,55B24R,320,20
119,S-50B19L,nan,,SOLITE,50B19L,310,20
118,S-42B19R,nan,,SOLITE,42B19R,280,20
117,S-42B19L,nan,,SOLITE,42B19L,280,20
116,MP-15MBI,C-15MBI,,MULTIPOWER,15MP8I900,370,40
115,MP-13WI,C-13WI,,MULTIPOWER,13MP42I800,330,40
114,MP-1135,C-1135,,MULTIPOWER,11MP35750,330,40
113,MAX-15MBI,C-15MBI,,MAXIMA,48IMX-890ST,420,40
112,MAX-13WI,C-13WI,,MAXIMA,42IMX-820ST,350,40
111,MAX13W,C-13W,,MAXIMA,42MX-820ST,350,40
110,MAX-10LBI,C-10LBI,,MAXIMA,36IMX-630ST,280,20
109,MAX-15APCG,C-15APCG,,MAXIMA,27RMX-1030,470,40
108,MAX-15APCGI,C-15APCGI,,MAXIMA,27MX-1030,470,40
107,MAX-13TOI,C-13TOI,,MAXIMA,NS60LSMX-740,360,20
106,MAX-13TODI,C-13TODI,,MAXIMA,NS60LMX-740,330,20
105,B-AGMLN5,nan,,BOSCH,AGM LN5,1200,40
104,B-AGMLN4,nan,,BOSCH,AGM LN4,1100,40
103,B-AGMLN3,nan,,BOSCH,AGM LN3,900,40
102,B-AGMLN2,nan,,BOSCH,AGM LN2,800,40
101,B-31-930T,nan,,BOSCH,31-930T,700,40
100,B-N200,nan,,BOSCH,N200,1200,80
99,B-N120,nan,,BOSCH,N120,800,80
98,B-N100,nan,,BOSCH,N100,730,40
97,B-S6170D,nan,,BOSCH,S6170D,1050,80
96,B-S4180E,nan,,BOSCH,S4180E,940,80
95,B-65-7,nan,,BOSCH,65-7,640,40
94,B-580035,nan,,BOSCH,580035,680,40
93,B-60038,nan,,BOSCH,60038,720,40
92,B-S590DM,nan,,BOSCH,S590DM,640,40
91,B-125D31R,nan,,BOSCH,125D31R,690,40
90,B-125D31L,nan,,BOSCH,125D31L,690,40
89,B-105D31L,nan,,BOSCH,105D31L,570,40
88,B-95D31R,nan,,BOSCH,95D31R BHD,560,40
87,B-95D31L,nan,,BOSCH,95D31L BHD,560,40
86,B-110D26R,nan,,BOSCH,110D26R,630,40
85,B-110D26L,nan,,BOSCH,110D26L,630,40
84,B-90D26R,nan,,BOSCH,90D26R,530,40
83,B-90D26L,nan,,BOSCH,90D26L,530,40
82,B-80D26R,nan,,BOSCH,80D26R BHD,480,40
81,B-80D26L,nan,,BOSCH,80D26L BHD,480,40
80,B-90D23R,nan,,BOSCH,90D23R,530,40
79,B-90D23L,nan,,BOSCH,90D23L,530,40
78,B-80D23R,nan,,BOSCH,80D23R,480,40
77,B-80D23L,nan,,BOSCH,80D23L,480,40
76,B-S675E,nan,,BOSCH,S675E,530,40
75,B-S675D,nan,,BOSCH,S675D,530,40
74,B-S570D,nan,,BOSCH,S570D,510,40
73,B-S665E,nan,,BOSCH,S665E,500,40
72,B-S665D,nan,,BOSCH,S665D,500,40
71,B-S560EH,nan,,BOSCH,S560EH,510,40
70,B-S560DH,nan,,BOSCH,S560DH,510,40
69,B-S560D COREA,nan,,BOSCH,S560D COREA,500,40
68,B-S560D,nan,,BOSCH,S560D,430,40
67,B-S455DH,nan,,BOSCH,S455DH,430,20
66,B-S455D,nan,,BOSCH,S455D,400,20
65,B-S560E,nan,,BOSCH,S560E,430,20
64,B-46B24RS,nan,,BOSCH,46B24RS,370,20
63,B-46B24LS,nan,,BOSCH,46B24LS,370,20
62,B-46B24L,nan,,BOSCH,46B24L,370,20
61,B-70B24LS,nan,,BOSCH,70B24LS,440,20
60,B-70B24L,nan,,BOSCH,70B24L,440,20
59,B-65B24R,nan,,BOSCH,65B24R,400,20
58,B-65B24LS,nan,,BOSCH,65B24LS,400,20
57,B-65B24L,nan,,BOSCH,65B24L,400,20
56,B-S550D,nan,,BOSCH,S550D,400,20
55,B-S545D,nan,,BOSCH,S545D,400,20
54,B-46B20L,nan,,BOSCH,46B20L,370,20
53,B-40B19L BHD,nan,,BOSCH,40B19L BHD,330,20
52,D-60044,nan,,DAEWOO,60044,540,40
51,D-MF100R,nan,,DAEWOO,MF100R,530,40
50,D-105D31R,nan,,DAEWOO,105D31R,450,40
49,D-105D31L,nan,,DAEWOO,105D31L,450,40
48,D-85D23L,nan,,DAEWOO,85D23L,390,40
47,D-80D26L,nan,,DAEWOO,80D26L,420,40
46,D-75D26R,nan,,DAEWOO,75D26R,380,40
45,D-75D26L,nan,,DAEWOO,75D26L,380,40
44,D-75D23L,C-1135,,DAEWOO,75D23L,360,40
43,D-60B24LS,B-65B24LS,,DAEWOO,60B24LS,320,20
42,D-57113,nan,,DAEWOO,57113,400,40
41,D-56220,nan,,DAEWOO,56220,360,40
40,D-56077,B-S560D,,DAEWOO,56077,340,40
39,D-55B24L,nan,,DAEWOO,55B24L,300,20
38,D-55054,nan,,DAEWOO,55054,310,20
37,D-55040,nan,,DAEWOO,55040,310,20
36,D-54316,nan,,DAEWOO,54316,310,20
35,D-50D20L,nan,,DAEWOO,50D20L,300,20
34,D-44B19L,nan,,DAEWOO,44B19L,250,20
33,D-42B19L,nan,,DAEWOO,42B19L,270,20
32,C-28-8D,nan,,CAPSA,28-8D,720,80
31,C-23-4D,nan,,CAPSA,23-4D,640,80
30,C-21-4D,nan,,CAPSA,21-4D,580,80
29,C-1731P,nan,,CAPSA,1731P,450,40
28,C-1765,nan,,CAPSA,1765,430,40
27,C-15APCGI,nan,,CAPSA,15APCGI,410,40
26,C-15APCG,nan,,CAPSA,15APCG,410,40
25,C-15MBI,nan,,CAPSA,15MBI,370,40
24,C-15MB,nan,,CAPSA,15MB,370,40
23,C-13MBI,nan,,CAPSA,13MBI,310,40
22,C-13API,nan,,CAPSA,13API,350,40
21,C-13AP,nan,,CAPSA,13AP,350,40
20,C-11API,nan,,CAPSA,11API,290,40
19,C-11AP,nan,,CAPSA,11AP,290,40
18,C-1247L2,nan,,CAPSA,1247L2,310,40
17,C-1135,nan,,CAPSA,1135,330,40
16,C-13WI,nan,,CAPSA,13WI,330,40
15,C-13W,nan,,CAPSA,13W,330,40
14,C-11WI,nan,,CAPSA,11WI,290,40
13,C-11W,nan,,CAPSA,11W,290,40
12,C-13TODI,nan,,CAPSA,13TODI,300,20
11,C-13TOI,nan,,CAPSA,13TOI,300,20
10,C-13TOD,nan,,CAPSA,13TOD,300,20
9,C-13TO,nan,,CAPSA,13TO,300,20
8,C-11TODI,nan,,CAPSA,11TODI,280,20
7,C-11TOI,nan,,CAPSA,11TOI,280,20
6,C-11TOD,nan,,CAPSA,11TOD,280,20
5,C-11TO,nan,,CAPSA,11TO,280,20
4,C-10LBI,nan,,CAPSA,10LBI,250,20
3,C-10FDI,nan,,CAPSA,10FDI,280,20
2,C-9FDI,nan,,CAPSA,9FDI,260,20
1,C-9FD,nan,,CAPSA,9FD,260,20
